id_venda;data;hora;id_loja;id_cliente;id_produto;dia_da_semana
1;01/10/2021;14:00;1;1;1;sexta-feira
2;01/10/2021;14:00;1;1;2;sexta-feira
3;01/10/2021;14:00;1;1;3;sexta-feira
4;01/10/2021;14:00;1;1;4;sexta-feira
5;01/10/2021;14:00;2;2;5;sexta-feira
6;01/10/2021;14:00;2;2;6;sexta-feira
7;01/10/2021;14:00;2;2;7;sexta-feira
8;01/10/2021;14:00;2;2;40;sexta-feira
9;01/10/2021;14:00;2;3;4;sexta-feira
10;01/10/2021;14:00;3;4;5;sexta-feira
11;01/10/2021;14:00;3;4;24;sexta-feira
12;01/10/2021;14:00;3;4;1;sexta-feira
13;01/10/2021;14:00;3;4;2;sexta-feira
14;01/10/2021;14:00;3;4;36;sexta-feira
15;01/10/2021;14:00;1;5;11;sexta-feira
16;01/10/2021;14:00;1;6;3;sexta-feira
17;01/10/2021;14:00;1;6;2;sexta-feira
18;01/10/2021;14:00;2;40;41;sexta-feira
19;01/10/2021;14:00;3;7;26;sexta-feira
20;01/10/2021;15:00;4;7;6;sexta-feira
21;01/10/2021;15:00;4;8;2;sexta-feira
22;01/10/2021;15:00;4;8;38;sexta-feira
23;01/10/2021;15:00;4;9;33;sexta-feira
24;01/10/2021;16:00;1;35;23;sexta-feira
25;01/10/2021;17:00;2;45;5;sexta-feira
26;01/10/2021;18:00;3;19;4;sexta-feira
27;01/10/2021;19:00;4;10;2;sexta-feira
28;01/10/2021;19:00;1;11;24;sexta-feira
29;01/10/2021;19:00;1;12;40;sexta-feira
30;01/10/2021;19:00;1;13;4;sexta-feira
31;01/10/2021;19:00;1;14;64;sexta-feira
32;01/10/2021;19:00;2;15;5;sexta-feira
33;01/10/2021;19:00;2;16;64;sexta-feira
34;01/10/2021;19:00;2;17;9;sexta-feira
35;01/10/2021;19:00;4;18;10;sexta-feira
36;01/10/2021;19:00;4;20;11;sexta-feira
37;01/10/2021;19:00;4;21;12;sexta-feira
38;01/10/2021;19:00;1;22;1;sexta-feira
39;01/10/2021;19:00;1;22;2;sexta-feira
40;01/10/2021;19:00;1;22;26;sexta-feira
41;01/10/2021;19:00;1;22;5;sexta-feira
42;01/10/2021;19:00;1;22;5;sexta-feira
43;01/10/2021;19:00;1;22;2;sexta-feira
44;01/10/2021;19:00;1;28;7;sexta-feira
45;01/10/2021;19:00;1;29;8;sexta-feira
46;01/10/2021;19:00;1;30;23;sexta-feira
47;01/10/2021;19:00;2;31;20;sexta-feira
48;01/10/2021;19:00;2;32;21;sexta-feira
49;01/10/2021;19:00;2;33;14;sexta-feira
50;01/10/2021;19:00;2;34;3;sexta-feira
51;01/10/2021;19:00;2;35;5;sexta-feira
52;01/10/2021;19:00;4;36;2;sexta-feira
53;01/10/2021;19:00;4;37;2;sexta-feira
54;01/10/2021;19:00;4;38;13;sexta-feira
55;01/10/2021;19:00;4;38;2;sexta-feira
56;01/10/2021;19:00;1;47;5;sexta-feira
57;01/10/2021;19:00;4;39;21;sexta-feira
58;01/10/2021;19:00;1;50;12;sexta-feira
59;01/10/2021;19:00;1;50;26;sexta-feira
60;01/10/2021;19:00;1;50;10;sexta-feira
61;01/10/2021;19:00;1;50;32;sexta-feira
62;01/10/2021;19:00;4;1;16;sexta-feira
63;01/10/2021;19:00;4;1;13;sexta-feira
64;01/10/2021;19:00;4;1;23;sexta-feira
65;01/10/2021;19:00;4;1;32;sexta-feira
66;01/10/2021;19:00;1;5;2;sexta-feira
67;01/10/2021;19:00;1;5;24;sexta-feira
68;01/10/2021;19:00;1;5;39;sexta-feira
69;01/10/2021;19:00;2;8;5;sexta-feira
70;01/10/2021;19:00;2;8;8;sexta-feira
71;01/10/2021;19:00;2;8;5;sexta-feira
72;01/10/2021;19:00;2;8;20;sexta-feira
73;01/10/2021;19:00;1;11;21;sexta-feira
74;01/10/2021;19:00;1;11;22;sexta-feira
75;01/10/2021;19:00;1;11;2;sexta-feira
76;01/10/2021;19:00;2;12;24;sexta-feira
77;01/10/2021;19:00;2;12;25;sexta-feira
78;01/10/2021;19:00;2;12;26;sexta-feira
79;01/10/2021;20:00;2;12;26;sexta-feira
80;01/10/2021;20:00;1;15;16;sexta-feira
81;01/10/2021;20:00;1;15;16;sexta-feira
82;01/10/2021;20:00;1;15;1;sexta-feira
83;01/10/2021;20:00;2;16;2;sexta-feira
84;01/10/2021;20:00;2;16;2;sexta-feira
85;01/10/2021;21:00;2;16;4;sexta-feira
86;01/10/2021;21:00;2;16;8;sexta-feira
87;02/10/2021;14:00;1;17;9;sábado
88;02/10/2021;14:00;1;17;10;sábado
89;02/10/2021;14:00;2;20;11;sábado
90;02/10/2021;14:00;2;20;12;sábado
91;02/10/2021;14:00;2;20;16;sábado
92;02/10/2021;15:00;1;21;2;sábado
93;02/10/2021;15:00;2;22;5;sábado
94;02/10/2021;15:00;2;22;2;sábado
95;02/10/2021;15:00;1;25;26;sábado
96;02/10/2021;16:00;1;25;12;sábado
97;02/10/2021;17:00;1;25;27;sábado
98;02/10/2021;18:00;1;25;23;sábado
99;02/10/2021;19:00;1;25;2;sábado
100;02/10/2021;19:00;4;30;24;sábado
101;02/10/2021;19:00;4;30;5;sábado
102;02/10/2021;19:00;4;30;8;sábado
103;02/10/2021;19:00;4;30;8;sábado
104;02/10/2021;19:00;4;30;2;sábado
105;02/10/2021;19:00;4;30;5;sábado
106;02/10/2021;19:00;1;33;6;sábado
